Entity,Code,Day,cum_excess_proj_all_ages
Bulgaria,BGR,2020-11-01,721.8
Bulgaria,BGR,2020-11-08,1873.5
Bulgaria,BGR,2020-11-15,3716.6
Bulgaria,BGR,2020-11-22,6060.9
Bulgaria,BGR,2020-11-29,8717.8
Bulgaria,BGR,2020-12-06,11334.9
Bulgaria,BGR,2020-12-13,13530
Bulgaria,BGR,2020-12-20,15269.3
Bulgaria,BGR,2020-12-27,16174.6
Bulgaria,BGR,2021-01-03,16802.9
Bulgaria,BGR,2021-01-10,16869.8
Bulgaria,BGR,2021-01-17,16807.9
Bulgaria,BGR,2021-01-24,16827.8
Bulgaria,BGR,2021-01-31,16807.1
Bulgaria,BGR,2021-02-07,16758.8
